date,remaining,ideal
2026-04-27,180,180.0
2026-04-28,177,172.17
2026-04-29,177,164.35
2026-04-30,166,156.52
2026-05-01,161,148.7
2026-05-02,161,140.87
2026-05-03,155,133.04
2026-05-04,155,125.22
2026-05-05,154,117.39
2026-05-06,154,109.57
2026-05-07,151,101.74
2026-05-08,137,93.91
2026-05-09,121,86.09
2026-05-10,93,78.26
2026-05-11,84,70.43
2026-05-12,72,62.61
2026-05-13,67,54.78
2026-05-14,67,46.96
2026-05-15,66,39.13
2026-05-16,61,31.3
2026-05-17,56,23.48
2026-05-18,43,15.65
