date,remaining,ideal
2026-06-19,129,129.0
2026-06-20,129,123.39
2026-06-21,129,117.78
2026-06-22,127,112.17
2026-06-23,115,106.57
2026-06-24,113,100.96
2026-06-25,109,95.35
2026-06-26,107,89.74
2026-06-27,107,84.13
2026-06-28,104,78.52
2026-06-29,96,72.91
2026-06-30,85,67.3
2026-07-01,71,61.7
2026-07-02,64,56.09
2026-07-03,62,50.48
2026-07-04,62,44.87
2026-07-05,62,39.26
2026-07-06,52,33.65
2026-07-07,50,28.04
2026-07-08,46,22.43
2026-07-09,46,16.83
2026-07-10,46,11.22
2026-07-11,46,5.61
2026-07-12,46,0.0
